"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_block_sequence","count_blockloop","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_trial_loop","count_trial_sequence","datetime","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blockloop","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","practice","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","task","time_block_sequence","time_blockloop","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_trial_loop","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","3924","3924","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","0","0","0","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) pigeons.","b) cats.","no","The old lady feeds:","0","right","NA","space","space","right","4407","NA","45211","3441","4407","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","4","even","0","89480","89473","NA","1601","1612","93254","96704","101363","89546","46823","101137","93007","101111","96703","93009","89480","89546","EyeTribe Reading Experiment","0","7848","2","no","1920"
"0","0","3607.25","3607.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","1","0","1","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) Fathers.","b) Mothers.","no","Who shows protective behavior?","0","left","NA","space","space","left","1951","NA","45211","4630","1951","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","4","even","0","89480","89473","NA","1601","1612","106649","111288","113488","101561","46823","113258","106408","113240","111288","106409","89480","101561","EyeTribe Reading Experiment","0","14429","4","no","1920"
"0","0","3910.16666667","3910.16666667","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","2","2","2","2","0","2","2","2","2","2","0","2","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","2","0","2","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) easily damaged.","b) indestructible.","no","Young people’s self-esteem is:","0","left","NA","space","space","left","4391","NA","45211","4641","4391","2","legacy","1024","2","48000","-16","experiment","9","Especially for young people long-term unemployment can damage a person’s self-esteem.","4","even","0","89480","89473","NA","1601","1612","116255","120904","125542","113598","46823","125313","116015","125297","120904","116018","89480","113598","EyeTribe Reading Experiment","0","23461","6","no","1920"
"0","0","3912.75","3912.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","3","3","3","3","0","3","3","3","3","3","0","3","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","3","0","3","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) No way, I am a dog person.","b) True fact, cats rule the world. ","no","What is your opinion? ","0","right","NA","space","space","right","3823","NA","45211","4018","3823","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","4","even","0","89480","89473","NA","1601","1612","126789","130816","134891","125684","46823","134661","126552","134640","130815","126552","89480","125684","EyeTribe Reading Experiment","0","31302","8","no","1920"
"0","0","3921","3921","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","4","4","4","4","0","4","4","4","4","4","0","4","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","4","0","4","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) math.","b) physics.","no","I hated:","0","left","NA","space","space","left","4183","NA","45211","3725","4183","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school I became a decent engineer. ","4","even","0","89480","89473","NA","1601","1612","138330","142064","146498","135014","46823","146270","138087","146250","142064","138088","89480","135014","EyeTribe Reading Experiment","0","39210","10","no","1920"
"0","0","3789.5","3789.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","5","5","5","5","0","5","5","5","5","5","0","5","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","5","0","5","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) Yes.","b) No.","no","Did Joe go to rehab?","0","right","NA","space","space","right","2680","NA","45211","3584","2680","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious he denied having a problem.","4","even","0","89480","89473","NA","1601","1612","149815","153408","156342","146622","46823","156113","149575","156089","153408","149577","89480","146621","EyeTribe Reading Experiment","0","45474","12","no","1920"
"0","0","3687.35714286","3687.35714286","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","6","6","6","6","0","6","6","6","6","6","0","6","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","6","0","6","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) fishing.","b) hiking.","no","The kids went: ","0","left","NA","space","space","left","1492","NA","45211","4657","1492","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","4","even","0","89480","89473","NA","1601","1612","158982","163651","165390","156471","46823","165166","158744","165145","163651","158745","89480","156471","EyeTribe Reading Experiment","0","51623","14","no","1920"
"0","0","3639.875","3639.875","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","7","7","7","7","0","7","7","7","7","7","0","7","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","7","0","7","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) Policemen.","b) Soldiers.","no","Who was heavily armed?","0","right","NA","space","space","right","2433","NA","45211","4182","2433","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack heavily armed soldiers patrolled the streets of Paris.","4","even","0","89480","89473","NA","1601","1612","166769","170959","173656","165512","46823","173429","166519","173393","170959","166520","89480","165512","EyeTribe Reading Experiment","0","58238","16","no","1920"
"0","0","3571.33333333","3571.33333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","8","8","8","8","0","8","8","8","8","8","0","8","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","8","0","8","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) shabby.","b) fancy.","no","The neighborhood is:","0","right","NA","space","space","right","2271","NA","45211","3775","2271","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","4","even","0","89480","89473","NA","1601","1612","175112","178896","181422","173779","46823","181192","174872","181168","178896","174873","89480","173778","EyeTribe Reading Experiment","0","64284","18","no","1920"
"0","0","3491.15","3491.15","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","9","9","9","9","0","9","9","9","9","9","0","9","07/21/17 12:47:32","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","9","0","9","C:/Users/Sebastian Korinth/Desktop/subject-4.csv","legacy","Jazzy James","3.1.4","a) a park.","b) a lake.","no","The penguins went to:","0","left","NA","space","space","left","2048","NA","45211","3491","2048","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","4","even","0","89480","89473","NA","1601","1612","183228","186727","189026","181537","46823","188801","182991","188776","186727","182993","89480","181536","EyeTribe Reading Experiment","0","69823","20","no","1920"
